attraction,lng,lat
万方亭公园,116.376084,39.858648
万科石京龙滑雪场,115.969777,40.525178
世界公园,116.287991,39.810377
世界花卉大观园,116.352038,39.836168
世界葡萄博览中心景区,115.872317,40.468481
中国人民抗日战争纪念馆,116.226754,39.851606
中国园林博物馆,116.178032,39.878033
中国地质博物馆,116.371754,39.923408
中央广播电视塔,116.306735,39.919446
中山公园,116.394549,39.910365
中粮·祥云小镇,116.536946,40.089356
丰台花园,116.286089,39.863817
乐多港假日广场,116.190049,40.232701
云居寺,115.774477,39.609037
京城梨园景区,116.688176,39.877284
什刹海,116.385307,39.941853
伊利集团北京乳品厂,116.803313,40.349588
八大处,116.195068,39.947772
八奇洞景区,116.027346,39.893411
八达岭,116.040676,40.326879
八达岭古长城,115.977527,40.338937
八达岭野生动物世界,115.996858,40.351178
兴隆公园,116.533721,39.912680
冶仙塔景区,116.866957,40.401444
凤凰岭自然风景区,116.085180,40.106216
前门大街景区,116.398325,39.894604
动物园,116.339892,39.941344
北京九谷口自然风景区,116.663819,40.445146
北京二锅头酒博物馆,116.397840,39.894240
北京京西古道景区,116.049693,39.966158
北京古御道生态旅游景区,117.165711,40.684052
北京古钱币展览馆,116.379580,39.949789
北京后花园风景区,116.393163,39.938296
北京园博园,116.190959,39.875252
北京圣泉山旅游风景区,116.570919,40.363773
北京大观园,116.355916,39.871574
北京天文馆,116.336701,39.937354
北京奥林匹克水上公园,116.690213,40.182488
北京市劳动人民文化宫,116.400003,39.910763
北京市大栅栏商业街区,116.384913,39.892353
北京市宣武艺园,116.359216,39.895137
北京市植物园,116.210487,39.991619
北京欢乐谷,116.489201,39.865649
北京汽车博物馆,116.301700,39.828921
北京河北村民俗体验园,116.729050,40.131588
北京海洋馆,116.340948,39.944665
北京渔阳国际滑雪场景区,116.450371,39.826889
北京老舍茶馆,116.393386,39.899782
北京蓝色港湾,116.475116,39.949468
北京蓝调庄园,116.608731,39.965464
北京西山国家森林公园,116.194722,39.976561
北京西山大觉寺,116.213778,39.946537
北京陶瓷艺术馆,116.475960,39.855763
北京韩美林艺术馆,116.676822,39.875007
北京顺义国际鲜花港,116.796591,40.181584
北京顺鑫绿色度假村,116.739102,40.083182
北京首创奥莱休闲驿站景区,116.187357,39.763019
北宫森林公园,116.154774,39.883113
北小河公园,116.454740,40.005199
北海公园,116.388767,39.928265
十三陵,116.248876,40.300225
南宫旅游景区,116.152092,39.794672
南新仓文化休闲街景区,116.398325,39.894604
历代帝王庙,116.367429,39.924780
古塔公园,116.535358,39.878332
古崖居原始部落旅游度假区,115.778336,40.461514
司马台长城景区,117.278770,40.654803
周口店遗址博物馆,115.936844,39.687376
响水湖旅游区,116.461079,40.461271
四得公园,116.478037,39.971309
团结湖公园,116.464394,39.925865
圆明园遗址公园,116.312316,40.000601
地坛公园,116.414867,39.953679
大望京公园,116.493966,39.999781
天坛公园,116.410886,39.881949
太平洋海底世界博览馆,116.306341,39.918928
奥林匹克森林公园,116.393852,39.987244
妙峰山风景名胜区,116.043176,40.064500
孔庙/国子监,116.413269,39.946763
定都阁景区,116.053439,39.899220
将府公园,116.512798,39.971360
小汤山现代农业示范园,116.408920,40.154483
居庸关,116.074183,40.291986
庆丰公园,116.464594,39.902930
张裕爱斐堡国际酒庄,116.900269,40.378169
恭王府,116.386310,39.937209
慕田峪长城,116.564036,40.430860
戒台寺,116.087166,39.869866
房山世界地质公园博物馆,115.874229,39.584781
故宫博物院,116.397026,39.918058
斯普瑞斯奥莱旅游商业文化体验区,116.313292,40.037217
日坛公园,116.443803,39.915537
明城墙遗址公园,116.434650,39.901720
景山公园,116.396776,39.925847
朝阳公园,116.482534,39.944304
桃源仙谷自然风景区,116.805450,40.549447
水关长城,116.230529,39.865650
潭柘寺,116.029617,39.906022
爨柏景区,115.666673,39.972357
玉渊潭公园,116.323190,39.917189
玉渡山风景区,115.903059,40.529253
白鹿公园,116.554403,39.878352
百望山森林公园,116.255641,40.030005
百花山自然风景区,115.616563,39.857430
石景山游乐园,116.208596,39.912045
石花洞,115.948323,39.795522
神堂峪自然风景区,116.614391,40.440567
神泉峡景区,115.972265,40.043190
稻香湖公园,116.181565,40.092783
紫竹院公园,116.319408,39.942263
红螺寺,116.624490,40.375089
红领巾公园,116.491348,39.926699
绿野晴川野生动物园,116.335585,39.496227
莲花池公园,116.314960,39.892173
虎峪自然风景区,116.106782,40.325195
谷山村景区,116.049693,39.966158
通州大运河森林度假区,116.684903,39.885403
通州运河公园,116.688292,39.908522
野鸭湖国家湿地公园,115.858231,40.409218
金中都公园,116.349743,39.871440
金水湖景区,116.668702,40.392560
银山塔林风景区,116.393163,39.938296
银狐洞,115.903165,39.798302
长力金源（北京）热带植物园,116.590847,39.659306
阳台山自然风景区,116.098722,40.069725
陶然亭景区,116.384690,39.882271
青年湖公园,116.402494,39.955349
静之湖度假区,116.438785,40.246633
颐和园,116.272876,39.992430
首都博物馆,116.342120,39.906481
香山公园,116.189141,39.990246
鹿世界主题园景区,116.704472,40.294419
黄花水长城旅游区,117.279777,40.654406
黑龙潭旅游区,116.198053,40.041613
龙庆峡,116.010606,40.545482
龙潭湖公园,116.442904,39.881343
龙脉温泉度假村,116.399649,40.180895